################################################################
# MalwareBazaar recent malware samples (CSV)                   #
# Last updated: 2024-10-19 11:15:44 UTC                        #
#                                                              #
# Terms Of Use: https://bazaar.abuse.ch/faq/#tos               #
# For questions please contact bazaar [at] abuse.ch            #
################################################################
#
# "first_seen_utc","sha256_hash","md5_hash","sha1_hash","reporter","file_name","file_type_guess","mime_type","signature","clamav","vtpercent","imphash","ssdeep","tlsh"
"2024-10-19 10:43:45", "348d40eeb137ed043d5c327e952eec6f00dd3bac0e236ced1dc588b6bf5384e6", "4544350d8fa3ad37326f263e2f678825", "31aee887e86db1ddafb56c2c694fc477940f0848", "JAMESWT_MHT", "bat2.bat", "bat", "text/x-msdos-batch", "n/a", "n/a", "n/a", "n/a", "12:QLF5e2PrmP52Phae2rQUEOXrn88FVm+2rQo0m+2xm2QYv:Qx42yP52pz2trbV/2B0/2A2v", "T199F0A7915EC3CB2E191DD1EB06B2928CE165488C3EC93B2517344D4D028594EFFE3316"
"2024-10-19 10:43:25", "1ddb7d620b40e406d07b5242683583071ef11dc43713ca03cf9c054b284d2fb7", "9b35050f52c92596f0b26b05d8330d95", "a0a5e2d79c6bc0d652dfc87cb341f5783dd44167", "JAMESWT_MHT", "1ddb7d620b40e406d07b5242683583071ef11dc43713ca03cf9c054b284d2fb7", "lnk", "application/octet-stream", "n/a", "n/a", "29.69", "n/a", "48:8SC5GKjoXu3+Cy3qJ53pRbE3HV3S3X25353t53pN0J3B+bK3l3L3DXUR30T3BE3s:8SCUK4Cpe0v3DRT1BfAg1uch", "T19B81F67469E5891CE17ADA34ACAF8BD05002B9927A78B5041993C93DB1052C3F3E7B7A"
"2024-10-19 10:43:20", "8e16378a59eb692de2c3a53b8a966525b0d36412bfd79c20b48c2ee546f13d04", "70aa68a891b07b5e000eaa1674e704b0", "d1742233fc3d8c989a8ed91a7d1585299a6dff6a", "JAMESWT_MHT", "8e16378a59eb692de2c3a53b8a966525b0d36412bfd79c20b48c2ee546f13d04", "lnk", "application/octet-stream", "n/a", "n/a", "28.57", "n/a", "48:8f3QEUkkDAAyV6qo0/d3ZRaWuaVZ5qSq01oOPqDww6cLPq9qTbY6h/Bha2v:8f32/DlyYJ0/dJcW7ckWq4C8xhZh", "T15081B4242DEF4224E173CAB686F89ED55009791279314A0E78D1CF6C2987603EFADF69"
"2024-10-19 10:42:45", "28c3e26d5d0745c98dc1583be8a7311742e757de4333197fa30ff97645e7c035", "575c8188fcdaefbd1c42a3dc9794e6ab", "49be6d2685e30a7615de950f9de8f85f45620c67", "JAMESWT_MHT", "28c3e26d5d0745c98dc1583be8a7311742e757de4333197fa30ff97645e7c035", "lnk", "application/octet-stream", "n/a", "n/a", "29.69", "n/a", "96:8HnS4dluFdZ3OY+U0K9oYuAO95UbikjhbXyzlOCuEO9h:8HBAz3DJOYuboAzliEo", "T118812BB454DC9190C133D6B9CBFA42E155027B237C318A2CB5E0CB7DA6819639BBDF68"
"2024-10-19 10:42:38", "600f1387eddfde6be618621a102af378227f7f3f662e7f70114b551b28e76afd", "d3459bc4bd61e4bbc42b2a431c608ce1", "9bb0b8331fd1e2e4839f354b09bf4d3aafda2280", "JAMESWT_MHT", "600f1387eddfde6be618621a102af378227f7f3f662e7f70114b551b28e76afd", "lnk", "application/octet-stream", "n/a", "n/a", "28.12", "n/a", "48:8LkJD5GKjoXu3+Cy3qJ53pRbE3HV3S3X25353t53pN0J3B+bK3l3L3DXUR30T3Bb:8LkJDUK4Cpe0v3DRT1BfAg1uch", "T12381F97469E5890CE17EDA34BCAF8BD04006B5927A38B5041993C93DB1411C3F3E7B79"
"2024-10-19 10:42:33", "b467dd2391b04a61b5019819f51c6199c017284fb6be8c2b9c10d0854277a5c4", "4ab67f62b6c8c405e6a15e12e1a58cc4", "f9a496442495f49246c9331146c0e8f1e910602c", "JAMESWT_MHT", "b467dd2391b04a61b5019819f51c6199c017284fb6be8c2b9c10d0854277a5c4", "lnk", "application/octet-stream", "n/a", "n/a", "42.86", "n/a", "96:8Tiv6S4dluFdZ3OY+U0K9oYuAO95UbikjhbXyzlOCuEO9:8TEWAz3DJOYuboAzliEo", "T178811AB455C89190C133D6B9CBFA12E115467B237C358A2CB4F0CB3DA6819639BBDB68"
"2024-10-19 10:42:26", "b1781a062bfca853a3b556afe982e1800bb1e30cde0771cf7c62ca272503c788", "22faf227b32edd871e2eee195361a36a", "cce9db447ddbdcac6fa37bde9ac052875c1137c5", "JAMESWT_MHT", "b1781a062bfca853a3b556afe982e1800bb1e30cde0771cf7c62ca272503c788", "lnk", "application/octet-stream", "n/a", "n/a", "40.62", "n/a", "48:8udJmsID0uB0L2wJrUG+EA3V8ufI9YT2/gvBQ2VDXuz:8CTIZLwJrwENwIXYzVLuz", "T1DB31A9B35284C522E8896130C526A5E3EE79FFA89339B58ACF9C89F1D25C1CE147A001"
"2024-10-19 10:42:21", "bbd55b4d33f1a06b7ad3dfeecf2a029acdc0fc2cb2f6782371f1dc97188903f5", "bb666020f00f4d6321cbc99c96c3439f", "47f30eb8c3001b79f025e00c7162bdc48425deb4", "JAMESWT_MHT", "bbd55b4d33f1a06b7ad3dfeecf2a029acdc0fc2cb2f6782371f1dc97188903f5", "lnk", "application/octet-stream", "n/a", "n/a", "26.56", "n/a", "48:8udJUzOhy9JWkYJNZV9JqeXBcyE3L0SqrnGkrZ5bKZ5sXuz:8CCOhy9JtYJNZV9JqeXBcyE3L3qrnGkc", "T16531579D55631B0EC315A2B301B70AB68ABDE9E2C528F0C33759C1A58B5DD7246BE073"
"2024-10-19 10:42:16", "d1dcb2be1a582a5bc503bac9b906f54a4fa7fd2d17b0fa5156b936c7f8acc7bb", "0a2f22c7a16adfe8fbfa67b77edc82b4", "c2556809eee64ec4061a50d4ea2ee41d6781371f", "JAMESWT_MHT", "d1dcb2be1a582a5bc503bac9b906f54a4fa7fd2d17b0fa5156b936c7f8acc7bb", "lnk", "application/octet-stream", "n/a", "n/a", "40.62", "n/a", "96:8lycpm13BwQuSQ9Q/0RyhCcY5Qy9ZMlXAUWR+twh:8lyGQRxy+YeeN", "T13081F4783BF41104F977F431E89A2787047ABE027A344D08BCB0CA6D75622077B9EB5A"
"2024-10-19 10:42:12", "dc1ccf97c82eb6d3b2c148a60c5a9f821e65e74c2a067233e0e5e4ab8112046c", "b7b45beb473bfed529432cfeae5c6f63", "1c1b65443e326bd24ee340f04f7c38faf3225166", "JAMESWT_MHT", "dc1ccf97c82eb6d3b2c148a60c5a9f821e65e74c2a067233e0e5e4ab8112046c", "lnk", "application/octet-stream", "n/a", "n/a", "41.67", "n/a", "48:8udJhJP2SaBdO1CgXUue3rn1Bh15zYJ7vV2N3WSdb2gBcInXuz:8CPelKvkj3hB5utBIXuz", "T13E319AAC97025661C9824AB0F7064CF2617FA9A3D2319934EB1B0729813F752A79A772"
"2024-10-19 10:30:22", "c092abe8f316c003c07fc63317420f139acb45ed75c09b6ca824fdd9be7fb823", "7dfad410c1f1362846d2b985dc970bf2", "d6555a8039f661f3987e7fcd10372992d3184726", "JAMESWT_MHT", "README.ps1", "ps1", "text/plain", "n/a", "n/a", "4.76", "n/a", "48:j7Bt7ODpWIp3cVDh2Si2Fao2YI+V9v2G9R/H2pH:v8MI9ehajslG", "T193412F170C84891F974EE970C7261B08E21FB24F89048AE2B3655C189D4920CDAEFDCA"
"2024-10-19 10:29:10", "b31eac5f720cd50494425428bcdd222f29302e0828bb6de3e519a335ef6dc4eb", "dc548b9934b666041829236a31947649", "6aec79c3b1bdad67dedabd8626374dd042b6ab6f", "JAMESWT_MHT", "Discord.zip", "zip", "application/zip", "QuasarRAT", "n/a", "80.60", "n/a", "24576:0/WhFiXLjI4378vfV44ifqVpwmrOsR/b//Bl8Yl8rJbNHy5pDCvjW7U:0uA37jLqVpwmrxRz//Vl8Na17U", "T15845339BB77949E425F393AA02F45C578F910871F1260473E612F71BBA1CF483A864EE"
"2024-10-19 10:29:02", "5c917a6a860f0e78fcb7f5278116263fe3eb59d9eb6a0823fe90e550b6067e4c", "0c7ec4386b4369682b93327ea13d2df4", "f3fbf85bbf5f5ecf7b7c752239b7180c72a86351", "JAMESWT_MHT", "fud.bat", "bat", "text/plain", "n/a", "n/a", "11.11", "n/a", "24:87BYIplHOm6DpzHOcIaIpdWv87PUykgZ6OHHAXuVSZSiSZnd+wR/HSZpq+:87Bt7ODpPIpCHiYi2Si2d9R/H2pV", "T12441CE150C89892B67CDE970C7126605E307F11FD8098AA2B37568488D4D24CDFEEED6"
"2024-10-19 10:28:45", "65fbb1345bb0e3779d198a289a6f0cedbf8e44b1f2a19642a3f27d410c929235", "129e8dd31692ca17cf95989408554071", "db07e0cfcbe96d8d5ed807ef01255942851bd8b7", "JAMESWT_MHT", "runme.bat", "bat", "text/plain", "n/a", "n/a", "0.00", "n/a", "3:SzLJJFISFXFW5nkEWWiaM2fFEd5LNKBx2ghhuk/H5kIABQXbJJFHMk/n59lv:SB8SFX45NWpaM2f2fLNKBxfhskf6etg6", "T14EC01263E240552EEE2991D6E4A96C04509815C6E1672678A2F2060ECCA03648643015"
"2024-10-19 10:28:22", "f0bb0a632c25d9babde1920eb944f0de975cf62d0ff641d055df03214f37d47d", "7b340f5c598c36d8d43364322e2fe704", "a4919f66d1b8926dfa71ad536528849793ae4226", "JAMESWT_MHT", "q.bat", "bat", "text/plain", "n/a", "n/a", "0.00", "n/a", "3:VSJJFISFXFWUU/HZ2fxQhWg+MSVa/JrIEX:s8SFX4UoMW7SVa/JFX", "T14EB012206750F925962DC2B04818881031FC2221CF5D22916AF913012D900498640068"
"2024-10-19 10:28:15", "d64c1c5b80d32d510625ab8e4b9bd6292bb36551a33a862ab3a33f08ddb93ebc", "aacb620fe54b6171a150b12f8d5e1c7c", "909f5d216797b2419349b093033cfcbaf93e9f4f", "JAMESWT_MHT", "FudAm.bat", "bat", "text/x-msdos-batch", "n/a", "n/a", "0.00", "n/a", "24:e7BYdplHO1lyLapzHOZI8s6JtZUy6f27HBfETJAMObu:e7BK7E4epqI8FcAvMb", "T10F1140110145CA2632BBD4F4C3013208E65EF283A82889E0F1A255849EBC349CEDB9EC"
"2024-10-19 10:28:00", "bd384ed0c9b44d2203781f78cc5b57439faae8f75e229874cd3855cb4870d744", "75f8bd00e467f9148f434b3f2e952cef", "d321902724df23972bc99f03c5b0a4cebfbc4462", "JAMESWT_MHT", "Discord.zip", "zip", "application/zip", "QuasarRAT", "n/a", "80.00", "n/a", "24576:Y6Mf02obh+Ha/CCNb10p9NDpr4paerTSWbSxPZUuN4cVVrspL:Y6Em+Ha/CCNZu/6r2WbSffVK", "T1E035330B829A9474C08097BB6FF922E8C3E7588D8DCCA1E71F11E7964389BE9053DD75"
"2024-10-19 10:27:38", "764a1a962328591399a2e792a8fb9966ec24113f96d3616fc9519d7d7d185aba", "a0edf6cd15f47564fcb6d84d2b3a15a7", "b839af8496dd1027743c98b7e4b4898b754bb022", "JAMESWT_MHT", "Am.bat", "bat", "text/x-msdos-batch", "n/a", "n/a", "12.70", "n/a", "24:e7BYdplHO1lyLapzHOZI8s6JtZUy6f27HVSZg7DQqSZYS9wAk/Xd/SZYcu:e7BK7E4epqI8FcA12gPH2YVr/Xh2Yt", "T18D1135010045C92723BA9470D7113609E55EF3879D148AD0F37198549D9E14DEED7DE8"
"2024-10-19 10:27:21", "d06277f3518b1f8f25a3b8eaba45491bd46b783468ae34e4fc5a27f166d40fa3", "60c7d79b61bb0fab6e1fc877c2297f71", "8556f2e7118f1b6bc1cfd291a2a9e832bfcd2d7e", "JAMESWT_MHT", "1.ps1", "ps1", "text/plain", "n/a", "n/a", "0.00", "n/a", "48:vmFROkjDgLN9OfS1PlRMB0c7CjCwf6jcA:vmFE+O9LiF6CwCAA", "T18771514A5FEA8370077205199CCB63E7A01F11293C7B9A0039BE455DFE7024783E95CA"
"2024-10-19 10:27:11", "ec356a094a6b78a3faa7a6087b6d4699e87977f35ced2876a6f866ed7e08c223", "8edc1f8c079c4d1ef85e1c53aea252c8", "341abfb560e7ff3d7fb7b384d7ff131713bb167e", "JAMESWT_MHT", "Am.ps1", "ps1", "text/plain", "n/a", "n/a", "0.00", "n/a", "24:lRLmIULR6LixCbLDDbEyREMpiNjQI5+IX0cVolvp8PBu2O0uJyBYrScoz+HDCLXQ:PmFROkmDgLN+O4S1PfBNcoCjCzfbjcT", "T12871408A5BEB9370077205099CCA63BBA21E00983C375A0039BD454DFE60F46D3A95CE"
"2024-10-19 10:27:02", "c99e311f09fdc9a371c67971575f59962dc1d5bb02afdcff72d74d0b3ede34df", "cdb8a5fcca6c6b2ac156c95610dd62b0", "fc9143fbdfc511193d627682d03da517ef03eac0", "JAMESWT_MHT", "1.bat", "bat", "text/x-msdos-batch", "n/a", "n/a", "0.00", "n/a", "6:hg98SkZoN9nyzeGgdEYF8nyzeGgdEY0wvAwSi23kIfkEOAn:q98ON9nXuG8nXu7QSZUIc1A", "T13AD02E2300AB20CEE62A09A0421F8749385F006860980A83332CAC29A502C0DE3FEC0D"
"2024-10-19 10:26:56", "7f58c992cef765a583f2575e6973173e660a21e9d124c601d1c2200980bb2fa4", "66eb03d6d173ad66ebf26ef8fd1ae878", "3d46f99c0d78bf43b841190c87218832c77b3823", "JAMESWT_MHT", "2.bat", "bat", "text/x-msdos-batch", "n/a", "n/a", "0.00", "n/a", "6:hg98SkZoMs8qOLm03fLNKJUCyFwH8tUS8gDTUo2LdtUorojB1wSi23kMlQOkEOR:q98OMs8JmyUF+wo8GoZs4SZUMq31R", "T131E07D3301461D1D0F942B21566D5741730650EB480B4793B31D8C0E8D0621DDDC7CCF"
"2024-10-19 10:25:58", "5a133d8dbfb8665de2a7cc7c5969258bf8e6aad7ab654555acfe79d669cc9b15", "07d6714528050d2f821b6ffd7afd3f09", "0134f465931f323e27d49e9d03cad22e7d2a7156", "JAMESWT_MHT", "1.zip", "zip", "application/zip", "n/a", "n/a", "6.06", "n/a", "12:5jbTn/qjMA2zJWrnZvYhzotAjjjKSVFTsOK0xjmUJ7dgFgmQUGhTnTob/t3AjPS7:9bT6MVlGOhztK0FoOKvyAFQvTTYeS7", "T1DD010200422F7D8BC422E2F56599150F4319406A47E19BAF42ECE5466C82CE01AF1B69"
"2024-10-19 10:25:52", "12c5ddc260654923468bf80d0039d719ee61e52a22b9ea39f3f62417a4d8e7e0", "eab10b09604d7f04b64d9bd228dd63d7", "2deab7a069e7e96e69c6975c75235f865b922e33", "JAMESWT_MHT", "1-main.zip", "zip", "application/zip", "QuasarRAT", "n/a", "n/a", "n/a", "98304:c7DjBRCY+58BvhJxaIPfO7a/CMuxhhSSuFv7DjBRCY+58BvhJxaIPU:aD3CY+58BRaIPfOUbc6SuFTD3CY+58BW", "T13FF5332303C9A92B8089FE2F1AF5F96DB7778812011D112F5B5D0BC9D25BD772C226AD"
"2024-10-19 10:25:43", "15cdf692e7724cf2cb442618cbe9d40410a9bd53184d5d7f17cda7d041da6ff1", "72df1a70050deeb47f887e2fae51d9de", "fc1565a530a56dd79b57fd372f5d320fce1edec8", "JAMESWT_MHT", "FUD-BATCH-main.zip", "zip", "application/zip", "QuasarRAT", "n/a", "n/a", "n/a", "24576:s1wlBffG+hpfV/88if4V0FrLb7m+6jX6lhxczXyZd5URAvj2zk/:smlhpfFA4V0Fj0jX6vxcO5Ulzk/", "T17B45331228524D98F491B17E02F46DEF5D9B0A3663DA60E3B44106063C2FF187B9ADEF"
"2024-10-19 10:25:35", "83bce06dfd02c5e75c12c642562b72b0624eaf7ee8aa337098244bf7210e9cfe", "9c1efd0f9e0de55c3b9877de6b2a7e97", "0fb8d52361f23297a331c78d59fc15af0a36790a", "JAMESWT_MHT", "fud-ps1-main.zip", "zip", "application/zip", "n/a", "n/a", "n/a", "n/a", "24:hG3MBhqmRjhXz5cQDbhPSup/3CUqbU0cnJB6QF8b7NPupCw3Bw+Db:JF+MbUup/3CsidJWC4b", "T1F131C880C390EE55C60552BC7548DC1AC3D6C9B081C4DBE63A786CB125BA7873E6534D"
"2024-10-19 10:25:29", "109ffc032d5579c3417731473a46acb8efe4ff5b18c47ef4145bc6fc189747be", "b734e4e85ffb340d49361656d04cd3cf", "e2ef8841096712fe74ba6e1c43c9a66307f7f228", "JAMESWT_MHT", "New-Fud-Batch-main.zip", "zip", "application/zip", "n/a", "n/a", "n/a", "n/a", "24:IbMS0phkBEobpU33Y8PSyVNDnulRYn9EqcCLM6pc6S:NCEWo3YsRTKSc8fS", "T1FF11A158B218BF24D25007FEB8180C406677286DEE0881B7A590ACE278D9450BACCBCE"
"2024-10-19 10:25:13", "4ea27acbddd03299e97e18e117ff553ac516ca7e60144b3cd39cb2ffe9ac6fa5", "37ca66a26417472f965c372aebeb76a3", "0952eef183d0af2bc7fe6df3fa5fae35a0ed3595", "JAMESWT_MHT", "4ea27acbddd03299e97e18e117ff553ac516ca7e60144b3cd39cb2ffe9ac6fa5", "exe", "application/x-dosexec", "QuasarRAT", "n/a", "72.60", "f34d5f2d4577ed6d9ceec516c1f5a744", "49152:Pv/lL26AaNeWgPhlmVqvMQ7XSKWk/oBxsLoGdKM7THHB72eh2NT:PvNL26AaNeWgPhlmVqkQ7XSKN/p", "T154E56B0437F85E33E56BD2B3D5B05026A3F0F82AF363EB1B519167BA1C53B5488426A7"
"2024-10-19 10:24:44", "60bc13d78d5ef441d57434a389501cc93ff8afcd830399f61625d1c33eddccea", "079513ef527fbeccb26b23e5e26f1600", "aa387880a90349cc9ae3f5a53b1f255e51cb9107", "JAMESWT_MHT", "60bc13d78d5ef441d57434a389501cc93ff8afcd830399f61625d1c33eddccea", "exe", "application/x-dosexec", "QuasarRAT", "n/a", "67.61", "f34d5f2d4577ed6d9ceec516c1f5a744", "49152:lv+I22SsaNYfdPBldt698dBcjHVkxNESEik/iWLoGdm1THHB72eh2NT:lvz22SsaNYfdPBldt6+dBcjHWxRY", "T160F5291437E87F22E16AEE7F95B000165FF0EC1AA3A3AB1B115176791C73B435842EA7"
"2024-10-19 10:24:22", "844df720d5d3db3b86e96848a0708d45e100d22b408441b8794caa359a040a5d", "9f2ea5a66d97de9ab11295bcf9911531", "09763e63a47f8e7c85298510704ac7b4dc71ac22", "JAMESWT_MHT", "844df720d5d3db3b86e96848a0708d45e100d22b408441b8794caa359a040a5d", "exe", "application/x-dosexec", "QuasarRAT", "n/a", "67.57", "f34d5f2d4577ed6d9ceec516c1f5a744", "49152:Iv+I22SsaNYfdPBldt698dBcjHViRJ6xbR3LoGdITHHB72eh2NT:Ivz22SsaNYfdPBldt6+dBcjHViRJ6T", "T1B3F5391437F87F26E1AAEE7F95B004126FF0EC1AA363A70B254176691C73B535801EA7"
"2024-10-19 10:24:13", "05dd373ddcc29dad6246a7a8e57b347678133a01d7f02ff6a72ab0a742ad9083", "91d2d800e1f0386b2f2d0dae51791ad2", "0180a77864455b3ea60f3f8daee2c994cc7cf15f", "JAMESWT_MHT", "05dd373ddcc29dad6246a7a8e57b347678133a01d7f02ff6a72ab0a742ad9083.bat", "bat", "text/plain", "n/a", "n/a", "7.81", "n/a", "48:0v7s7BK7E4ep3zI8FicIJpCvedwi2gPH2YQaeo2pEv:uVedI8svfF", "T1EC41DF010C44893B67E9D938C7116D05E31AF20FED058A91F325686A5D4824DDEEFEE9"
"2024-10-19 10:24:05", "002ee006c22f11bc0ca54174aa801120194db34a8aa31211f8acd6be41e39b48", "60dada1b14a5b02b0dc37730ffbe4fec", "d40932aa73fe702d66e52c57235e1e8c2f8a21fe", "JAMESWT_MHT", "002ee006c22f11bc0ca54174aa801120194db34a8aa31211f8acd6be41e39b48.ps1", "ps1", "text/plain", "n/a", "n/a", "26.98", "n/a", "3072:x8iQue6RXCuG8XqV72lyrK9jpTkz6o9BnKNZRC9/y4NMkl:x8fs3l7Ws69P1", "T1FED312393F89E07C8AC53F3A1EBD1C65660085B384885DBD23C4D5C2F75DAF612A7296"
"2024-10-19 10:23:59", "6ef63c8a75de24f6a7ef7195e94cd24ed185ce17a3d510627ee49ce9813945f6", "df5cf5b5085663a8412e59ba7858fd12", "7b28cdd8cf7f03049700a3b9dd31310d1abbbe9a", "JAMESWT_MHT", "6ef63c8a75de24f6a7ef7195e94cd24ed185ce17a3d510627ee49ce9813945f6.ps1", "ps1", "text/plain", "n/a", "n/a", "0.00", "n/a", "24:rLmIULR6LixCbUQDbEycEMofZLu2OGoW0yOHDCZPfA:/mFROkqDga5fF1PgjCZPfA", "T12811358396F45375807287464DD68255F06E456D61BF290072F8975DFF7810FC3C55C9"
"2024-10-19 10:23:53", "5533bedd706007faa5611e3593613c2af38a3b49aa2b4b4add214b8ccc9e985f", "a0129bb1c6d5c43cdb2590fd018b7a78", "80f0fd11104cde2f85d2feaa45285596ba6d60d9", "JAMESWT_MHT", "5533bedd706007faa5611e3593613c2af38a3b49aa2b4b4add214b8ccc9e985f.ps1", "ps1", "text/plain", "n/a", "n/a", "0.00", "n/a", "24:rLmIULR6LixCbUQDbEycEMofZLu2OGoW0yOHDCZPf9:/mFROkqDga5fF1PgjCZPf9", "T13A11358396F45375807287464DD68255F06E456D61BF290072F8975DFF7810FC3C55C9"
